8076,9550,nov6 sun morn.mp4,DBsunmornnov6,DB.mov,sermons
1617,2388,nov 6 sun eve.mp4,ABsinevenov6,AB.mov,sermons
3042,4524,nov 6 sun eve.mp4,BenJurcaMarturienov6suneve,none,sermons
2590,4469,nov10thurs.mp4,VHthursnov10,VH.mov,sermons
5299,7408,nov10thurs.mp4,ABthursnov10studiu,AB.mov,sermons
6029,7740,nov13sunmorn.mp4,GTnov18sunmorn,GT.mov,sermons
9678,10898,nov13sunmorn.mp4,OPnov18sunmorn,OP.mov,sermons
1543,2256,nov13suneve.mp4,abnov13suneveenglish,AB.mov,sermons
4763,7582,nov13suneve.mp4,fmnov13suneveenglish,DM.mov,sermons
2741,4652,nov17thurs.mp4,alexbeneathursnov17,none,sermons
5265,7839,nov17thurs.mp4,ABnov17thirsstudiu,AB.mov,sermons
6367,8203,nov20sunmorn.mp4,PBnov20sunmorn,PB.mov,sermons
9560,10818,nov20sunmorn.mp4,VHnov20sunmorn,VH.mov,sermons
2103,3660,nov20suneve.mp4,edyhozannov20suneve,none,sermons
4595,6880,nov20suneve.mp4,nov20suneve,none,sermons
2788,4755,nov24thurs.mp4,AmosHozanthursnov24,none,sermons
5503,7916,nov24thurs.mp4,abthursnov24studiu,AB.mov,sermons
4866,6458,nov27sunmorn.mp4,nov27sunmornbotez,none,sermons
8956,10817,nov27sunmorn.mp4,nov27sunmornbotez2,none,sermons
7728,8961,nov27suneve.mp4,nov27suneve,none,sermons
